1081|national/brazil/são-paulo-youth-cup
402|national/brazil/sergipano
26|national/brazil/serie-a
89|national/brazil/serie-b
321|national/brazil/serie-c
736|national/brazil/serie-d
401|national/brazil/sul-matogrossense
407|national/brazil/tocantinense
907|national/british-virgin-islands/bvifa-football-league
912|national/brunei-darussalam/premier-league
59|national/bulgaria/a-pfg
60|national/bulgaria/b-pfg
201|national/bulgaria/cup
1078|national/bulgaria/elite-u19
935|national/bulgaria/play-offs-12
453|national/bulgaria/super-cup
664|national/bulgaria/v-afg
878|national/burkina-faso/1ère-division
914|national/burundi/ligue-a
797|national/cambodia/c-league
1011|national/cambodia/hun-sen-cup
266|national/cameroon/elite-one
785|national/canada/canadian-championship
146|national/canada/canadian-soccer-league
147|national/canada/pcsl
894|national/cape-verde-islands/campeonato-nacional
906|national/cayman-islands/cifa-premier-league
903|national/chad/lfn
635|national/chile/copa-chile
582|national/chile/play-offs-12
1021|national/chile/play-offs-23
1099|national/chile/play-offs-34
438|national/chile/primera-b
90|national/chile/primera-división
1020|national/chile/segunda-división
779|national/chile/tercera-a
148|national/china-pr/china-league-one
51|national/china-pr/csl
204|national/china-pr/csl-cup
276|national/china-pr/fa-cup
998|national/chinese-taipei/entrerprise-football-league
383|national/chinese-taipei/inter-city-league
599|national/chinese-taipei/womens-national-league
613|national/colombia/copa-colombia
580|national/colombia/play-offs-12
91|national/colombia/primera-a
448|national/colombia/primera-b
1052|national/colombia/super-cup
928|national/congo/ligue-1
780|national/congo-dr/super-ligue
887|national/cook-islands/round-cup
752|national/costa-rica/liga-de-ascenso
1044|national/costa-rica/play-offs-12
315|national/costa-rica/primera-división
61|national/croatia/1-hnl
1094|national/croatia/1-hnl-juniori
62|national/croatia/2-hnl
687|national/croatia/3-hnl
681|national/croatia/first-league
178|national/croatia/hr-nogometni-cup
730|national/croatia/play-offs-12
305|national/croatia/super-cup
567|national/cuba/primera-division
75|national/cyprus/1-division
486|national/cyprus/2-division
663|national/cyprus/3-division
271|national/cyprus/cup
571|national/cyprus/super-cup
976|national/cyprus/women's-first-division
330|national/czech-republic/1-liga
1071|national/czech-republic/1-liga-u19
83|national/czech-republic/2-liga
653|national/czech-republic/2-liga-women
84|national/czech-republic/3-liga
633|national/czech-republic/4-liga
199|national/czech-republic/cup
667|national/czech-republic/cup-women
82|national/czech-republic/czech-liga
1065|national/czech-republic/juniorská-liga
938|national/czech-republic/play-offs-12
824|national/czech-republic/super-cup
530|national/côte-d'ivoire/ligue-1
450|national/denmark/1-division
39|national/denmark/1st-division
40|national/denmark/2nd-division
181|national/denmark/dbu-pokalen
632|national/denmark/denmark-series
333|national/denmark/elitedivisionen
294|national/denmark/super-cup
30|national/denmark/superliga
1072|national/denmark/u19-ligaen
429|national/denmark/viasat-cup
1003|national/djibouti/division-1
547|national/dominican-republic/liga-mayor
165|national/ecuador/primera-a
447|national/ecuador/primera-b
700|national/egypt/cup
206|national/egypt/premier-league
666|national/egypt/second-divison
744|national/egypt/super-cup
378|national/el-salvador/primera-division
70|national/england/championship
570|national/england/combination
173|national/england/community-shield
680|national/england/conference-league-cup
302|national/england/conference-n--s
71|national/england/conference-national
93|national/england/fa-cup
498|national/england/fa-cup-women
683|national/england/fa-trophy
96|national/england/football-league-trophy
95|national/england/league-cup
499|national/england/league-cup-women
15|national/england/league-one
32|national/england/league-two
308|national/england/non-league-div-one
306|national/england/non-league-premier
422|national/england/play-offs-34
950|national/england/premier-academy-league
8|national/england/premier-league
326|national/england/premier-league-women
327|national/england/premier-n--s
949|national/england/premier-reserve-league
1058|national/england/u21-premier-league
886|national/england/wsl
1006|national/england/wsl-cup
198|national/estonia/cup
112|national/estonia/esiliiga
798|national/estonia/esiliiga-women
783|national/estonia/ii-liiga
111|national/estonia/meistriliiga
348|national/estonia/meistriliiga-women
972|national/estonia/play-offs-12
960|national/estonia/play-offs-12
973|national/estonia/play-offs-23
714|national/estonia/super-cup
813|national/estonia/super-cup-women
1051|national/estonia/women's-cup
880|national/ethiopia/premier-league
384|national/faroe-islands/1-deild
332|national/faroe-islands/1-deild-women
792|national/faroe-islands/2-deild
478|national/faroe-islands/løgmanssteypid
81|national/faroe-islands/meistaradeildin
970|national/faroe-islands/play-offs-12
971|national/faroe-islands/play-offs-23
612|national/faroe-islands/steypakappingin
919|national/faroe-islands/super-cup
591|national/fiji/national-football-league
41|national/finland/kakkonen
252|national/finland/league-cup
604|national/finland/liiga-cup-naiset
149|national/finland/naisten-liiga
974|national/finland/play-offs-12
975|national/finland/play-offs-23
476|national/finland/sm-suomen-cup
179|national/finland/suomen-cup
22|national/finland/veikkausliiga
35|national/finland/ykkönen
413|national/finland/ykkönen-women
354|national/france/cfa
557|national/france/cfa-2
951|national/france/championnat-national-u-19
177|national/france/coupe-de-france
535|national/france/coupe-de-france-féminine
105|national/france/coupe-de-la-ligue
328|national/france/feminine-division-1
363|national/france/feminine-division-2
560|national/france/feminine-division-3
16|national/france/ligue-1
17|national/france/ligue-2
57|national/france/national
312|national/france/super-cup
888|national/gabon/championnat-d1
809|national/gambia/gfa-league
203|national/georgia/david-kipiani-cup
761|national/georgia/pirveli-liga
937|national/georgia/play-offs-12
883|national/georgia/super-cup
166|national/georgia/umaglesi-liga
11|national/germany/2-bundesliga
323|national/germany/2-bundesliga-women
622|national/germany/3-liga
9|national/germany/bundesliga
884|national/germany/bundesliga-cup
1068|national/germany/dfb-junioren-pokal
104|national/germany/dfb-pokal
372|national/germany/dfb-pokal-women
290|national/germany/frauen-bundesliga
174|national/germany/liga-pokal
366|national/germany/oberliga
931|national/germany/play-offs-12
932|national/germany/play-offs-23
55|national/germany/regionalliga
556|national/germany/regionalliga-women
638|national/germany/super-cup
945|national/germany/u-19-bundesliga
487|national/ghana/premier-league
168|national/greece/cup
989|national/greece/delta-ethniki
108|national/greece/football-league
140|national/greece/football-league-2
617|national/greece/panelinio-protathlima
978|national/greece/play-offs-12
979|national/greece/play-offs-23
575|national/greece/super-cup
107|national/greece/super-league
1074|national/greece/super-league-k20
584|national/grenada/premier-division
676|national/guam/division-one
320|national/guatemala/liga-nacional
746|national/guatemala/primera-division
777|national/guyana/gff-super-league
523|national/haiti/championnat-national
776|national/haiti/super-8
927|national/haiti/trophée-des-champions
463|national/honduras/liga-nacional
619|national/hong-kong/fa-cup
113|national/hong-kong/hkfa-1st-division
657|national/hong-kong/hkfa-2nd-division
376|national/hong-kong/league-cup
962|national/hong-kong/senior-shield
671|national/hungary/league-cup
254|national/hungary/magyar-kupa
67|national/hungary/nb-i
68|national/hungary/nb-ii
656|national/hungary/nb-iii
655|national/hungary/nöi-magyar-kupa
360|national/hungary/nöi-nb-i
568|national/hungary/nöi-nb-ii
980|national/hungary/play-offs-12
307|national/hungary/super-cup
38|national/iceland/1-deild
460|national/iceland/1-deild-women
544|national/iceland/2-deild
197|national/iceland/cup
470|national/iceland/cup-women
806|national/iceland/super-cup
807|national/iceland/super-cup-women
31|national/iceland/úrvalsdeild
331|national/iceland/úrvalsdeild-women
708|national/india/federation-cup
150|national/india/i-league
534|national/india/i-league-2nd-division
845|national/india/ifa-shield
846|national/india/santhosh-trophy
847|national/india/sikkim-governors-gold-cup
961|national/india/super-cup
151|national/indonesia/divisi-utama
1001|national/indonesia/isl
629|national/indonesia/liga-prima-indonesia
273|national/indonesia/piala-indonesia
602|national/iran/azadegan-league
874|national/iran/hazfi-cup
76|national/iran/persian-gulf-cup
518|national/iraq/iraqi-league
627|national/ireland-republic/a-championship
196|national/ireland-republic/fai-cup
77|national/ireland-republic/first-division
285|national/ireland-republic/league-cup
963|national/ireland-republic/play-offs-12
981|national/ireland-republic/play-offs-23
34|national/ireland-republic/premier-league
996|national/ireland-republic/women's-national-league-
142|national/israel/liga-artzit
141|national/israel/liga-leumit
579|national/israel/ligat-al-women
117|national/israel/ligat-ha'al
983|national/israel/play-offs-12
984|national/israel/play-offs-23
264|national/israel/state-cup
924|national/israel/state-cup-women
643|national/israel/toto-cup-ligat-al
641|national/israel/toto-cup-ligat-artzit
642|national/israel/toto-cup-ligat-leumit
952|national/italy/campionato-nazionale-primavera
135|national/italy/coppa-italia
684|national/italy/coppa-italia-lega-pro
1070|national/italy/coppa-italia-primavera
852|national/italy/coppa-italia-women
1092|national/italy/dante-berretti
53|national/italy/lega-pro-1
358|national/italy/lega-pro-2
423|national/italy/play-offs
424|national/italy/play-out
13|national/italy/serie-a
293|national/italy/serie-a
457|national/italy/serie-a2
14|national/italy/serie-b
659|national/italy/serie-d
171|national/italy/super-cup
851|national/italy/super-cup-women
477|national/jamaica/premier-league
577|national/japan/emperor-cup
223|national/japan/j-league-cup
109|national/japan/j1-league
110|national/japan/j2-league
540|national/japan/japan-football-league
341|national/japan/l1-league
342|national/japan/l2-league
222|national/japan/super-cup
854|national/jordan/jordan-cup
218|national/jordan/league
835|national/jordan/shield-cup
838|national/jordan/super-cup
279|national/kazakhstan/1-division
261|national/kazakhstan/cup
79|national/kazakhstan/premier-league
812|national/kazakhstan/super-cup
715|national/kenya/premier-league
618|national/korea-republic/challengers-league
564|national/korea-republic/fa-cup
136|national/korea-republic/k-league
257|national/korea-republic/k-league-cup
725|national/korea-republic/kwfl
616|national/korea-republic/national-league
723|national/kuwait/crown-prince-cup
670|national/kuwait/division-1
794|national/kuwait/emir-cup
677|national/kuwait/federation-cup
1040|national/kuwait/play-offs-12
237|national/kuwait/premier-league
745|national/kuwait/super-cup
1091|national/kuwait/u19-league
795|national/kyrgyzstan/top-liga
265|national/latvia/1-liga
803|national/latvia/championship
195|national/latvia/cup
982|national/latvia/play-offs-12
116|national/latvia/virsliga
859|national/lebanon/elite-cup
864|national/lebanon/lebanon-cup
217|national/lebanon/premier-league
860|national/lebanon/super-cup
879|national/lesotho/lesotho-premier-league
236|national/libya/premier-league
839|national/libya/super-cup
504|national/liechtenstein/fl1-active-cup
258|national/lithuania/1-lyga
118|national/lithuania/a-lyga
194|national/lithuania/cup
985|national/lithuania/play-offs-12
416|national/lithuania/super-cup
404|national/lithuania/women-a--lyga
661|national/luxembourg/1-division
508|national/luxembourg/cup
686|national/luxembourg/cup-women
480|national/luxembourg/ligue-1
134|national/luxembourg/national-division
986|national/luxembourg/play-offs-12
987|national/luxembourg/play-offs-23
492|national/luxembourg/promotion-d'honneur
694|national/macao/primeira-divisão
272|national/macedonia-fyr/cup
65|national/macedonia-fyr/first-league
991|national/macedonia-fyr/play-offs-12
361|national/macedonia-fyr/second-league
944|national/macedonia-fyr/super-cup
911|national/madagascar/ligue-des-champions
899|national/malawi/super-league
350|national/malaysia/fa-cup
1007|national/malaysia/fam-league
349|national/malaysia/malaysia-cup
500|national/malaysia/play-offs-12
1056|national/malaysia/play-offs-23
154|national/malaysia/premier-league
153|national/malaysia/super-league
675|national/maldives/dhivehi-league
881|national/mali/première-division
262|national/malta/fa-trophy
473|national/malta/first-division
152|national/malta/premier-league
660|national/malta/second-division
646|national/malta/super-cup
359|national/malta/women's-first-division
772|national/malta/women's-second-division
592|national/mauritania/premier-league
926|national/mauritius/mauritian-league
156|national/mexico/ascenso-mx
1054|national/mexico/copa-mx
208|national/mexico/interliga
155|national/mexico/liga-mx
464|national/mexico/pre-libertadores
193|national/moldova/cupa
561|national/moldova/divizia-a
856|national/moldova/divizia-b
