header|season_name|round_name|group_name|match_id|date|team_a|team_b|team_a_score|team_b_score|result_type|reg_result|final_result|match_details_url
Quarter-finals|2008 Austria/Switzerland|Final||639534|2008-06-21T18:45:00+00:00|Netherlands|Russia|1|3|E|B|B|/matches/2008/06/21/europe/european-championships/netherlands/russia/639534/
Quarter-finals|2008 Austria/Switzerland|Final||639337|2008-06-22T18:45:00+00:00|Spain|Italy|0|0|P|D|A|/matches/2008/06/22/europe/european-championships/spain/italy/639337/
Final|2008 Austria/Switzerland|Semi-finals||644805|2008-06-29T18:45:00+00:00|Germany|Spain|0|1|R|B||/matches/2008/06/29/europe/european-championships/germany/spain/644805/
Semi-finals|2008 Austria/Switzerland|Semi-finals||641307|2008-06-25T18:45:00+00:00|Germany|Turkey|3|2|R|A||/matches/2008/06/25/europe/european-championships/germany/turkey/641307/
Semi-finals|2008 Austria/Switzerland|Semi-finals||641423|2008-06-26T18:45:00+00:00|Russia|Spain|0|3|R|B||/matches/2008/06/26/europe/european-championships/russia/spain/641423/
Quarter-finals|2008 Austria/Switzerland|Semi-finals||639090|2008-06-19T18:45:00+00:00|Portugal|Germany|2|3|R|B||/matches/2008/06/19/europe/european-championships/portugal/germany/639090/
Quarter-finals|2008 Austria/Switzerland|Semi-finals||639091|2008-06-20T18:45:00+00:00|Croatia|Turkey|1|1|P|D|B|/matches/2008/06/20/europe/european-championships/croatia/turkey/639091/
Quarter-finals|2008 Austria/Switzerland|Semi-finals||639534|2008-06-21T18:45:00+00:00|Netherlands|Russia|1|3|E|B|B|/matches/2008/06/21/europe/european-championships/netherlands/russia/639534/
Quarter-finals|2008 Austria/Switzerland|Semi-finals||639337|2008-06-22T18:45:00+00:00|Spain|Italy|0|0|P|D|A|/matches/2008/06/22/europe/european-championships/spain/italy/639337/
Final|2008 Austria/Switzerland|Quarter-finals||644805|2008-06-29T18:45:00+00:00|Germany|Spain|0|1|R|B||/matches/2008/06/29/europe/european-championships/germany/spain/644805/
Semi-finals|2008 Austria/Switzerland|Quarter-finals||641307|2008-06-25T18:45:00+00:00|Germany|Turkey|3|2|R|A||/matches/2008/06/25/europe/european-championships/germany/turkey/641307/
Semi-finals|2008 Austria/Switzerland|Quarter-finals||641423|2008-06-26T18:45:00+00:00|Russia|Spain|0|3|R|B||/matches/2008/06/26/europe/european-championships/russia/spain/641423/
Quarter-finals|2008 Austria/Switzerland|Quarter-finals||639090|2008-06-19T18:45:00+00:00|Portugal|Germany|2|3|R|B||/matches/2008/06/19/europe/european-championships/portugal/germany/639090/
Quarter-finals|2008 Austria/Switzerland|Quarter-finals||639091|2008-06-20T18:45:00+00:00|Croatia|Turkey|1|1|P|D|B|/matches/2008/06/20/europe/european-championships/croatia/turkey/639091/
Quarter-finals|2008 Austria/Switzerland|Quarter-finals||639534|2008-06-21T18:45:00+00:00|Netherlands|Russia|1|3|E|B|B|/matches/2008/06/21/europe/european-championships/netherlands/russia/639534/
Quarter-finals|2008 Austria/Switzerland|Quarter-finals||639337|2008-06-22T18:45:00+00:00|Spain|Italy|0|0|P|D|A|/matches/2008/06/22/europe/european-championships/spain/italy/639337/
Matches|2008 Austria/Switzerland|Group stage|Group A|529742|2008-06-07T16:00:00+00:00|Switzerland|Czech Republic|0|1|R|B||/matches/2008/06/07/europe/european-championships/switzerland/czech-republic/529742/
Matches|2008 Austria/Switzerland|Group stage|Group A|529743|2008-06-07T18:45:00+00:00|Portugal|Turkey|2|0|R|A||/matches/2008/06/07/europe/european-championships/portugal/turkey/529743/
Matches|2008 Austria/Switzerland|Group stage|Group A|529750|2008-06-11T16:00:00+00:00|Czech Republic|Portugal|1|3|R|B||/matches/2008/06/11/europe/european-championships/czech-republic/portugal/529750/
Matches|2008 Austria/Switzerland|Group stage|Group A|529751|2008-06-11T18:45:00+00:00|Switzerland|Turkey|1|2|R|B||/matches/2008/06/11/europe/european-championships/switzerland/turkey/529751/
Matches|2008 Austria/Switzerland|Group stage|Group A|529759|2008-06-15T18:45:00+00:00|Turkey|Czech Republic|3|2|R|A||/matches/2008/06/15/europe/european-championships/turkey/czech-republic/529759/
Matches|2008 Austria/Switzerland|Group stage|Group A|529758|2008-06-15T18:45:00+00:00|Switzerland|Portugal|2|0|R|A||/matches/2008/06/15/europe/european-championships/switzerland/portugal/529758/
Matches|2008 Austria/Switzerland|Group stage|Group B|529744|2008-06-08T16:00:00+00:00|Austria|Croatia|0|1|R|B||/matches/2008/06/08/europe/european-championships/austria/croatia/529744/
Matches|2008 Austria/Switzerland|Group stage|Group B|529745|2008-06-08T18:45:00+00:00|Germany|Poland|2|0|R|A||/matches/2008/06/08/europe/european-championships/germany/poland/529745/
Matches|2008 Austria/Switzerland|Group stage|Group B|529752|2008-06-12T16:00:00+00:00|Croatia|Germany|2|1|R|A||/matches/2008/06/12/europe/european-championships/croatia/germany/529752/
Matches|2008 Austria/Switzerland|Group stage|Group B|529753|2008-06-12T18:45:00+00:00|Austria|Poland|1|1|R|D||/matches/2008/06/12/europe/european-championships/austria/poland/529753/
Matches|2008 Austria/Switzerland|Group stage|Group B|529760|2008-06-16T18:45:00+00:00|Austria|Germany|0|1|R|B||/matches/2008/06/16/europe/european-championships/austria/germany/529760/
Matches|2008 Austria/Switzerland|Group stage|Group B|529761|2008-06-16T18:45:00+00:00|Poland|Croatia|0|1|R|B||/matches/2008/06/16/europe/european-championships/poland/croatia/529761/
Matches|2008 Austria/Switzerland|Group stage|Group C|529747|2008-06-09T16:00:00+00:00|Romania|France|0|0|R|D||/matches/2008/06/09/europe/european-championships/romania/france/529747/
Matches|2008 Austria/Switzerland|Group stage|Group C|529746|2008-06-09T18:45:00+00:00|Netherlands|Italy|3|0|R|A||/matches/2008/06/09/europe/european-championships/netherlands/italy/529746/
Matches|2008 Austria/Switzerland|Group stage|Group C|529754|2008-06-13T16:00:00+00:00|Italy|Romania|1|1|R|D||/matches/2008/06/13/europe/european-championships/italy/romania/529754/
Matches|2008 Austria/Switzerland|Group stage|Group C|529755|2008-06-13T18:45:00+00:00|Netherlands|France|4|1|R|A||/matches/2008/06/13/europe/european-championships/netherlands/france/529755/
Matches|2008 Austria/Switzerland|Group stage|Group C|529762|2008-06-17T18:45:00+00:00|Netherlands|Romania|2|0|R|A||/matches/2008/06/17/europe/european-championships/netherlands/romania/529762/
Matches|2008 Austria/Switzerland|Group stage|Group C|529763|2008-06-17T18:45:00+00:00|France|Italy|0|2|R|B||/matches/2008/06/17/europe/european-championships/france/italy/529763/
Matches|2008 Austria/Switzerland|Group stage|Group D|529748|2008-06-10T16:00:00+00:00|Spain|Russia|4|1|R|A||/matches/2008/06/10/europe/european-championships/spain/russia/529748/
Matches|2008 Austria/Switzerland|Group stage|Group D|529749|2008-06-10T18:45:00+00:00|Greece|Sweden|0|2|R|B||/matches/2008/06/10/europe/european-championships/greece/sweden/529749/
Matches|2008 Austria/Switzerland|Group stage|Group D|529756|2008-06-14T16:00:00+00:00|Sweden|Spain|1|2|R|B||/matches/2008/06/14/europe/european-championships/sweden/spain/529756/
Matches|2008 Austria/Switzerland|Group stage|Group D|529757|2008-06-14T18:45:00+00:00|Greece|Russia|0|1|R|B||/matches/2008/06/14/europe/european-championships/greece/russia/529757/
Matches|2008 Austria/Switzerland|Group stage|Group D|529764|2008-06-18T18:45:00+00:00|Greece|Spain|1|2|R|B||/matches/2008/06/18/europe/european-championships/greece/spain/529764/
Matches|2008 Austria/Switzerland|Group stage|Group D|529765|2008-06-18T18:45:00+00:00|Russia|Sweden|2|0|R|A||/matches/2008/06/18/europe/european-championships/russia/sweden/529765/
Final|2004 Portugal|Final||108000|2004-07-04T18:45:00+00:00|Portugal|Greece|0|1|R|B||/matches/2004/07/04/europe/european-championships/portugal/greece/108000/
Semi-finals|2004 Portugal|Final||107998|2004-06-30T18:45:00+00:00|Portugal|Netherlands|2|1|R|A||/matches/2004/06/30/europe/european-championships/portugal/netherlands/107998/
Semi-finals|2004 Portugal|Final||107999|2004-07-01T18:45:00+00:00|Greece|Czech Republic|1|0|E|A|A|/matches/2004/07/01/europe/european-championships/greece/czech-republic/107999/
Quarter-finals|2004 Portugal|Final||107994|2004-06-24T18:45:00+00:00|Portugal|England|2|2|P|D|A|/matches/2004/06/24/europe/european-championships/portugal/england/107994/
Quarter-finals|2004 Portugal|Final||107995|2004-06-25T18:45:00+00:00|France|Greece|0|1|R|B||/matches/2004/06/25/europe/european-championships/france/greece/107995/
Quarter-finals|2004 Portugal|Final||107996|2004-06-26T18:45:00+00:00|Sweden|Netherlands|0|0|P|D|B|/matches/2004/06/26/europe/european-championships/sweden/netherlands/107996/
Quarter-finals|2004 Portugal|Final||107997|2004-06-27T18:45:00+00:00|Czech Republic|Denmark|3|0|R|A||/matches/2004/06/27/europe/european-championships/czech-republic/denmark/107997/
Final|2004 Portugal|Semi-finals||108000|2004-07-04T18:45:00+00:00|Portugal|Greece|0|1|R|B||/matches/2004/07/04/europe/european-championships/portugal/greece/108000/
Semi-finals|2004 Portugal|Semi-finals||107998|2004-06-30T18:45:00+00:00|Portugal|Netherlands|2|1|R|A||/matches/2004/06/30/europe/european-championships/portugal/netherlands/107998/
Semi-finals|2004 Portugal|Semi-finals||107999|2004-07-01T18:45:00+00:00|Greece|Czech Republic|1|0|E|A|A|/matches/2004/07/01/europe/european-championships/greece/czech-republic/107999/
Quarter-finals|2004 Portugal|Semi-finals||107994|2004-06-24T18:45:00+00:00|Portugal|England|2|2|P|D|A|/matches/2004/06/24/europe/european-championships/portugal/england/107994/
Quarter-finals|2004 Portugal|Semi-finals||107995|2004-06-25T18:45:00+00:00|France|Greece|0|1|R|B||/matches/2004/06/25/europe/european-championships/france/greece/107995/
Quarter-finals|2004 Portugal|Semi-finals||107996|2004-06-26T18:45:00+00:00|Sweden|Netherlands|0|0|P|D|B|/matches/2004/06/26/europe/european-championships/sweden/netherlands/107996/
Quarter-finals|2004 Portugal|Semi-finals||107997|2004-06-27T18:45:00+00:00|Czech Republic|Denmark|3|0|R|A||/matches/2004/06/27/europe/european-championships/czech-republic/denmark/107997/
Final|2004 Portugal|Quarter-finals||108000|2004-07-04T18:45:00+00:00|Portugal|Greece|0|1|R|B||/matches/2004/07/04/europe/european-championships/portugal/greece/108000/
Semi-finals|2004 Portugal|Quarter-finals||107998|2004-06-30T18:45:00+00:00|Portugal|Netherlands|2|1|R|A||/matches/2004/06/30/europe/european-championships/portugal/netherlands/107998/
Semi-finals|2004 Portugal|Quarter-finals||107999|2004-07-01T18:45:00+00:00|Greece|Czech Republic|1|0|E|A|A|/matches/2004/07/01/europe/european-championships/greece/czech-republic/107999/
Quarter-finals|2004 Portugal|Quarter-finals||107994|2004-06-24T18:45:00+00:00|Portugal|England|2|2|P|D|A|/matches/2004/06/24/europe/european-championships/portugal/england/107994/
Quarter-finals|2004 Portugal|Quarter-finals||107995|2004-06-25T18:45:00+00:00|France|Greece|0|1|R|B||/matches/2004/06/25/europe/european-championships/france/greece/107995/
Quarter-finals|2004 Portugal|Quarter-finals||107996|2004-06-26T18:45:00+00:00|Sweden|Netherlands|0|0|P|D|B|/matches/2004/06/26/europe/european-championships/sweden/netherlands/107996/
Quarter-finals|2004 Portugal|Quarter-finals||107997|2004-06-27T18:45:00+00:00|Czech Republic|Denmark|3|0|R|A||/matches/2004/06/27/europe/european-championships/czech-republic/denmark/107997/
Matches|2004 Portugal|Group stage|A|49376|2004-06-12T16:00:00+00:00|Portugal|Greece|1|2|R|B||/matches/2004/06/12/europe/european-championships/portugal/greece/49376/
Matches|2004 Portugal|Group stage|A|49377|2004-06-12T18:45:00+00:00|Spain|Russia|1|0|R|A||/matches/2004/06/12/europe/european-championships/spain/russia/49377/
Matches|2004 Portugal|Group stage|A|49378|2004-06-16T16:00:00+00:00|Greece|Spain|1|1|R|D||/matches/2004/06/16/europe/european-championships/greece/spain/49378/
Matches|2004 Portugal|Group stage|A|49379|2004-06-16T18:45:00+00:00|Russia|Portugal|0|2|R|B||/matches/2004/06/16/europe/european-championships/russia/portugal/49379/
Matches|2004 Portugal|Group stage|A|49380|2004-06-20T18:45:00+00:00|Russia|Greece|2|1|R|A||/matches/2004/06/20/europe/european-championships/russia/greece/49380/
Matches|2004 Portugal|Group stage|A|49381|2004-06-20T18:45:00+00:00|Spain|Portugal|0|1|R|B||/matches/2004/06/20/europe/european-championships/spain/portugal/49381/
Matches|2004 Portugal|Group stage|B|49383|2004-06-13T16:00:00+00:00|Switzerland|Croatia|0|0|R|D||/matches/2004/06/13/europe/european-championships/switzerland/croatia/49383/
Matches|2004 Portugal|Group stage|B|49382|2004-06-13T18:45:00+00:00|France|England|2|1|R|A||/matches/2004/06/13/europe/european-championships/france/england/49382/
Matches|2004 Portugal|Group stage|B|49385|2004-06-17T16:00:00+00:00|England|Switzerland|3|0|R|A||/matches/2004/06/17/europe/european-championships/england/switzerland/49385/
Matches|2004 Portugal|Group stage|B|49384|2004-06-17T18:45:00+00:00|Croatia|France|2|2|R|D||/matches/2004/06/17/europe/european-championships/croatia/france/49384/
Matches|2004 Portugal|Group stage|B|49386|2004-06-21T18:45:00+00:00|Croatia|England|2|4|R|B||/matches/2004/06/21/europe/european-championships/croatia/england/49386/
Matches|2004 Portugal|Group stage|B|49387|2004-06-21T18:45:00+00:00|Switzerland|France|1|3|R|B||/matches/2004/06/21/europe/european-championships/switzerland/france/49387/
